,index,Dataset,expID,dumpPath,N,Architecture,FeatureLevel,ROIType,Slices,Aggregation,Augmentations,FSel,NFeatures,Clf,Clf_Parameters,Accuracy,AUC,Specificity,Sensitivity,Time_Overall
0,122036,C4KCKiTS,907349063a649702578a23baca48a332,/home/aydin/results/radPretrained/results/C4KCKiTS_907349063a649702578a23baca48a332/91e5d9d172367dbdb5483bb56aa05dcb.dump,203,DenseNet169,Mid,ROI,All,Max,None,RF,32,RandomForest,{'n_estimators': 50},0.6650246305418719,0.6645100641451007,0.5909090909090908,0.7226277372262774,5.161947011947632
1,123050,C4KCKiTS,58b50a2427c42cb52ffd797d4d056f45,/home/aydin/results/radPretrained/results/C4KCKiTS_58b50a2427c42cb52ffd797d4d056f45/54dfd3cc6ffee6cf745a1991d6b52d55.dump,203,DenseNet169,Mid,ROI,All,Mean,None,Anova,32,LogisticRegression,{'C': 16.0},0.6748768472906403,0.7176509621765096,0.7424242424242424,0.6131386861313869,1.0748496055603027
2,119099,C4KCKiTS,01815e9a7a486257b08746be50bc0dac,/home/aydin/results/radPretrained/results/C4KCKiTS_01815e9a7a486257b08746be50bc0dac/1f38a58013757c97e071b42687b374e8.dump,203,DenseNet169,Mid,ROI,Max,Mean,None,LASSO,64,RBFSVM,"{'C': 4.0, 'gamma': 'auto'}",0.6403940886699507,0.6750718867507188,0.6666666666666667,0.6277372262773723,0.9589977264404297
3,133200,C4KCKiTS,d94d9e75eba45775de7cf65aae523137,/home/aydin/results/radPretrained/results/C4KCKiTS_d94d9e75eba45775de7cf65aae523137/d62211fecf93f2626ba036192bba9a9e.dump,203,DenseNet169,Mid,ROIchannel,All,Max,None,RF,64,NeuralNetwork,"{'layer_1': 4, 'layer_2': 64, 'layer_3': 64}",0.7241379310344828,0.6253594337535944,0.5454545454545454,0.635036496350365,3.926919460296631
4,135879,C4KCKiTS,e9694abd2f6e0d2706b0ba1f435b4f81,/home/aydin/results/radPretrained/results/C4KCKiTS_e9694abd2f6e0d2706b0ba1f435b4f81/0a0a26d52063417594973fd564f82a17.dump,203,DenseNet169,Mid,ROIchannel,All,Mean,None,ET,16,LogisticRegression,{'C': 1.0},0.6847290640394089,0.6958637469586375,0.696969696969697,0.6277372262773723,3.0449366569519043
5,131817,C4KCKiTS,a117d3d31c513eb1dd81cdd818fd1ba6,/home/aydin/results/radPretrained/results/C4KCKiTS_a117d3d31c513eb1dd81cdd818fd1ba6/adf8cbabd2fa245824023aa6eabe1907.dump,203,DenseNet169,Mid,ROIchannel,Max,Mean,None,RF,16,NeuralNetwork,"{'layer_1': 16, 'layer_2': 4, 'layer_3': 64}",0.6748768472906403,0.6584826365848264,0.7272727272727273,0.5693430656934306,5.119703054428101
6,126872,C4KCKiTS,f20e14daad5c2dacccd2dd667f7e0b6e,/home/aydin/results/radPretrained/results/C4KCKiTS_f20e14daad5c2dacccd2dd667f7e0b6e/80fb890a22bfd591891f846556dba7a2.dump,203,DenseNet169,Mid,ROIcut,All,Max,None,RF,64,RandomForest,{'n_estimators': 250},0.6699507389162561,0.7095775270957752,0.7121212121212122,0.656934306569343,8.538877964019775
7,128809,C4KCKiTS,a3fc92a03c705520ef69b9ce459d55e1,/home/aydin/results/radPretrained/results/C4KCKiTS_a3fc92a03c705520ef69b9ce459d55e1/b59a20b9b04cd61260b0780986c53eab.dump,203,DenseNet169,Mid,ROIcut,All,Mean,None,LASSO,32,LogisticRegression,{'C': 16.0},0.6206896551724138,0.6877903118779031,0.7575757575757576,0.5401459854014599,1.3099405765533447
8,124832,C4KCKiTS,d6bde0566565da4af8c060fc168841df,/home/aydin/results/radPretrained/results/C4KCKiTS_d6bde0566565da4af8c060fc168841df/af8563de264cad90437a51e532533c57.dump,203,DenseNet169,Mid,ROIcut,Max,Mean,None,LASSO,4,NeuralNetwork,"{'layer_1': 16, 'layer_2': 4, 'layer_3': 16}",0.6551724137931034,0.661468701614687,0.6212121212121212,0.6642335766423357,1.4111807346343994
9,105013,C4KCKiTS,aa8f70ff7b8c4139ffbe5cdf07498bd6,/home/aydin/results/radPretrained/results/C4KCKiTS_aa8f70ff7b8c4139ffbe5cdf07498bd6/16162e557317d81b1c436ffb94849824.dump,203,DenseNet169,Top,ROI,All,Max,None,RF,2,NeuralNetwork,"{'layer_1': 4, 'layer_2': 4, 'layer_3': 16}",0.3251231527093596,0.6160694536606945,0.5909090909090908,0.6423357664233577,6.791520595550537
